La Salle,5.02,.237,.384,.533,47.6,52.0,11.0,10.9,.511,19.0,24.8,.163
Lafayette,-4.28,.288,.399,.556,49.1,62.6,9.7,9.2,.515,12.8,27.2,.234
Lamar,-5.93,.329,.276,.475,47.2,51.6,9.7,8.9,.430,17.6,25.5,.239
Lehigh,-0.09,.290,.228,.516,49.0,50.4,7.6,6.0,.486,15.6,24.7,.201
Liberty,-4.80,.237,.492,.593,52.2,57.8,7.4,7.2,.571,13.9,22.7,.178
Lipscomb,-3.00,.357,.373,.566,49.7,55.9,8.6,5.9,.535,16.0,23.3,.253
Cal State Long Beach,-2.92,.426,.336,.543,42.6,44.3,6.9,6.2,.505,19.0,20.3,.295
Long Island University,-7.45,.373,.383,.517,51.9,61.6,12.4,9.9,.489,17.6,33.3,.240
Longwood,-5.27,.305,.381,.533,49.7,43.4,8.4,5.4,.506,18.3,26.5,.208
Louisiana,-5.51,.282,.331,.530,53.0,48.5,7.8,11.7,.503,18.1,31.9,.195
Louisiana-Monroe,-7.38,.262,.384,.506,44.4,55.6,10.3,9.0,.478,17.2,21.8,.182
Louisiana State,6.44,.387,.384,.567,50.2,43.8,12.4,8.1,.525,15.0,31.1,.293
Louisiana Tech,-4.78,.373,.371,.530,52.1,43.8,8.7,6.0,.497,15.7,26.9,.254
Louisville,8.92,.348,.313,.539,54.3,46.1,7.3,6.7,.502,15.7,31.2,.252
Loyola (IL),-0.24,.322,.387,.611,53.2,61.0,10.4,5.5,.590,16.3,24.0,.230
Loyola Marymount,0.13,.394,.369,.537,56.5,55.0,6.7,9.1,.497,20.7,32.0,.279
Loyola (MD),-0.11,.448,.289,.515,52.0,47.6,9.3,9.4,.495,19.0,31.3,.260
Maine,-2.33,.272,.449,.468,46.8,62.8,8.7,13.5,.451,22.4,23.3,.155
Manhattan,-8.60,.354,.419,.458,49.4,54.5,10.6,10.5,.414,18.4,30.4,.242
Marist,-8.20,.298,.396,.530,50.2,47.6,8.0,13.2,.504,19.2,22.6,.202
Marquette,7.59,.361,.368,.551,53.0,54.1,8.0,11.1,.516,18.0,31.4,.260
Marshall,-0.64,.255,.401,.553,49.4,53.7,11.0,14.4,.525,14.9,25.7,.190
Maryland-Baltimore County,-5.84,.364,.364,.539,51.4,45.1,7.6,5.4,.501,17.3,25.0,.262
Maryland-Eastern Shore,,,,,,,,,,,,
